Crop_Type,Soil_Type,Soil_pH,Soil_Organic_Carbon,Total_Nitrogen,Available_Phosphorus,Available_Potassium,Bulk_Density,Rainfall,Temperature,Humidity,Wind_Speed,Evapotranspiration,Soil_Moisture_Level,Growth_Stage,Fertilizer_Type,Application_Rate,Application_Method,Coating_Type,Irrigation_Type,Water_Amount,Total_Fertilizer_Loss_kg_ha,Fertilizer_Loss_Percentage,Nitrogen_Loss,Phosphorus_Loss,Potassium_Loss
Rice,Clay,6.66,1.93,202.98,31.11,71.04,1.41,1.29,38.76,82.7,0.92,7.11,Low,Initial,PK,73.39,Drip,Controlled_Release,Drip,67.43,24.3,33.11,12.15,7.29,4.86
Vegetable,Loamy,6.55,1.73,245.38,56.23,175.11,1.13,58.69,20.73,85.73,1.5,3.58,Low,Late,NPK,174.73,Foliar,Biochar,Flood,16.74,53.71,30.74,26.86,16.11,10.74
Wheat,Clay,6.8,2.13,231.5,24.25,293.46,1.27,3.16,35.47,69.53,4.89,3.18,Medium,Late,PK,95.51,Broadcast,Controlled_Release,Drip,27.36,26.94,28.21,13.47,8.08,5.39
Wheat,Loamy,6.7,0.57,202.75,13.6,220.05,1.29,101.79,38.22,62.67,4.85,7.22,Low,Initial,PK,103.99,Broadcast,Controlled_Release,Sprinkler,33.14,52.24,50.24,26.12,15.67,10.45
Citrus,Loamy,6.27,1.98,61.97,76.76,173.13,1.26,20.64,38.45,73.33,4.43,7.11,Low,Late,NPK,108.93,Foliar,Controlled_Release,Sprinkler,78.8,35.8,32.87,17.9,10.74,7.16
Rice,Clay,8.47,1.67,215.67,33.06,104.32,1.35,86.94,17.51,68.42,2.42,4.55,High,Initial,PK,111.6,Drip,Biochar,Sprinkler,47.74,48.04,43.05,24.02,14.41,9.61
Corn,Clay,7.93,2.31,136.23,39.39,282.94,1.43,29.77,19.21,60.36,1.61,6.95,High,Late,NPK,141.39,Drip,Biochar,Sprinkler,67.66,34.87,24.66,17.43,10.46,6.97
Wheat,Sandy,6.3,2.37,167.26,29.07,112.22,1.35,100.15,26.52,63.8,2.98,7.44,Medium,Late,Organic,103.5,Broadcast,Controlled_Release,Flood,42.66,48.61,46.97,24.3,14.58,9.72
Vegetable,Sandy,8.45,0.98,262.86,32.76,354.59,1.32,37.66,22.98,86.45,1.2,3.88,High,Late,PK,82.47,Broadcast,Biochar,Drip,38.42,36.98,44.84,18.49,11.09,7.4
Citrus,Clay,5.55,2.08,292.18,77.48,396.27,1.43,4.92,24.13,75.3,2.8,2.52,Low,Late,Urea,131.62,Foliar,Normal,Flood,11.39,32.02,24.33,16.01,9.61,6.4
Citrus,Sandy,6.81,2.41,223.57,23.42,243.44,1.52,5.68,28.09,75.2,0.81,5.59,Low,Mid,Urea,98.73,Broadcast,Controlled_Release,Drip,53.37,28.01,28.37,14,8.4,5.6
Wheat,Sandy,7.21,1.03,108,44.65,90.99,1.32,102.97,38.38,79.43,1.93,2.1,Low,Initial,NK,149.96,Broadcast,Biochar,Drip,19.66,61.54,41.04,30.77,18.46,12.31
Wheat,Clay,5.61,2.2,129.42,54.67,289.94,1.34,107.36,27.21,94.72,5.25,5.24,High,Initial,PK,171.89,Broadcast,Normal,Drip,24.23,61.05,35.52,30.52,18.31,12.21
Wheat,Clay,5.98,1.67,84.53,25.71,96.51,1.53,89.52,25.9,68.43,2.43,4.2,Low,Initial,PK,95.12,Broadcast,Controlled_Release,Sprinkler,57.6,45.21,47.53,22.6,13.56,9.04
Corn,Clay,6.27,1.29,195.18,60.09,365.66,1.1,116.56,31.42,73.62,4.78,5.81,Low,Initial,NPK,161.73,Drip,Normal,Drip,54.76,65.98,40.8,32.99,19.79,13.2
Wheat,Loamy,7.66,2.15,282.48,57.77,255.09,1.31,109.7,18.5,65.97,4.57,3.46,High,Initial,Urea,182.93,Drip,Biochar,Drip,58.06,61.49,33.61,30.74,18.45,12.3
Rice,Clay,8.32,2.24,252.73,76.83,330.12,1.11,86.05,27.02,58.94,1.29,2.73,Low,Initial,Organic,139.26,Broadcast,Normal,Drip,10.9,49.72,35.7,24.86,14.92,9.94
Vegetable,Clay,7.37,1.07,185.91,42.23,268.72,1.29,1.49,33.08,77.7,0.88,8,Low,Mid,Urea,131.87,Foliar,Biochar,Flood,69.42,33.78,25.62,16.89,10.13,6.76
Wheat,Clay,7.19,2.09,285.35,36.93,234.1,1.23,22.57,29.82,78.03,4.35,3.12,Low,Late,NK,60.48,Broadcast,Biochar,Drip,51.53,21.8,36.04,10.9,6.54,4.36
Corn,Sandy,7.11,0.6,274.19,35.28,233.83,1.38,26.24,33.8,72,0.97,7.68,Medium,Late,NPK,72.75,Drip,Biochar,Flood,50.35,35.84,49.26,17.92,10.75,7.17
Vegetable,Clay,6.55,1.34,140.27,35.5,308.8,1.33,33.59,37.14,44.22,1.21,4.32,High,Initial,NPK,162.06,Foliar,Normal,Flood,39.84,50.27,31.02,25.14,15.08,10.05
Citrus,Sandy,7.98,0.64,187.44,12.64,365.9,1.15,32.52,25.99,40.8,2.74,5.09,Low,Mid,NPK,69.65,Drip,Normal,Sprinkler,13.14,37.63,54.03,18.82,11.29,7.53
Wheat,Loamy,7.12,1.09,123.99,26.54,126.63,1.37,22.91,33.05,84.52,5.26,6.47,Medium,Initial,NK,112.47,Foliar,Biochar,Sprinkler,67.77,35.57,31.63,17.78,10.67,7.11
Vegetable,Clay,6.19,2.4,52.19,18.4,89.86,1.45,58.3,25.16,46.02,0.75,6.83,High,Late,PK,190.18,Drip,Biochar,Sprinkler,69.3,55.51,29.19,27.76,16.65,11.1
Citrus,Clay,5.91,1.97,162.8,71.64,69.74,1.13,115.32,36.73,61.11,4.81,2.3,High,Initial,Organic,117.58,Broadcast,Biochar,Flood,74.67,55.42,47.13,27.71,16.63,11.08
Corn,Sandy,8.46,2.01,237.53,13.94,353.36,1.12,5.53,25.88,52.5,1.28,4.61,Low,Initial,NK,153.72,Broadcast,Biochar,Sprinkler,58.19,34.1,22.18,17.05,10.23,6.82
Rice,Loamy,5.55,0.77,208.54,35.56,92.84,1.54,20.39,31.95,84.53,5.63,4.87,High,Mid,NPK,91.47,Foliar,Controlled_Release,Sprinkler,77.51,36.06,39.42,18.03,10.82,7.21
Wheat,Clay,8.3,1.66,281.7,25.36,270.05,1.38,43.76,15.18,48.41,1.18,5.66,Medium,Late,Organic,107.89,Broadcast,Normal,Sprinkler,43.45,37.99,35.21,19,11.4,7.6
Rice,Loamy,6.15,1.28,221.44,55.19,159.64,1.15,73.15,24.96,63.26,3.81,4.46,High,Initial,Urea,189.7,Broadcast,Controlled_Release,Sprinkler,64.17,62.3,32.84,31.15,18.69,12.46
Corn,Loamy,7.47,1.97,85.31,32.84,247.15,1.46,16.15,28.77,90.98,4.31,6.63,Low,Initial,Urea,148.25,Drip,Controlled_Release,Sprinkler,29.8,37.95,25.6,18.98,11.38,7.59
Vegetable,Clay,6.4,0.81,116.7,11.16,79.73,1.53,67.17,31.03,91.85,0.67,7.74,Medium,Late,NPK,183.28,Drip,Biochar,Flood,69.55,60.05,32.76,30.02,18.01,12.01
Vegetable,Loamy,8.08,1.06,81.34,72.57,253.11,1.58,16,19.42,70.98,1.5,4.96,High,Mid,Organic,131.3,Foliar,Biochar,Drip,44.69,37.06,28.23,18.53,11.12,7.41
Corn,Loamy,7.13,2.3,248.68,54.55,357.28,1.51,24.47,30.88,79.28,3.85,3.55,Medium,Late,PK,197.74,Drip,Controlled_Release,Sprinkler,17.4,48.12,24.33,24.06,14.44,9.62
Corn,Clay,5.92,0.84,287.67,10.1,143.08,1.48,2.09,33.7,42.69,4.73,5.97,High,Mid,NK,138.18,Broadcast,Controlled_Release,Sprinkler,22.68,44.14,31.94,22.07,13.24,8.83
Wheat,Sandy,6.31,1.76,106.57,57.58,162.61,1.54,115.25,22,47.72,2.1,7.99,Low,Late,NPK,195.06,Broadcast,Normal,Flood,18.42,66.23,33.95,33.12,19.87,13.25
Citrus,Clay,6.46,1.13,241.38,25.15,126.34,1.34,31.33,23.83,47.81,5.34,3.39,Medium,Mid,PK,125.04,Broadcast,Normal,Drip,16.47,41.57,33.25,20.78,12.47,8.31
Rice,Loamy,8.16,0.66,159.25,77.45,95.44,1.34,73.4,37.75,85.35,3.07,3.78,Medium,Initial,Urea,157.42,Drip,Normal,Drip,29.51,60.1,38.18,30.05,18.03,12.02
Rice,Clay,7.8,0.95,138.8,41.14,75.34,1.44,29.74,20.56,84.38,3.12,5.76,High,Late,Organic,174.02,Broadcast,Normal,Sprinkler,14.58,53.06,30.49,26.53,15.92,10.61
Vegetable,Sandy,7.99,2.24,296.72,25.62,284.59,1.54,111.2,24.18,63.73,4.77,6.36,Low,Late,Urea,88.73,Foliar,Controlled_Release,Flood,56.97,44.33,49.96,22.16,13.3,8.87
Vegetable,Loamy,5.66,2.32,136.47,12.12,171.26,1.2,5.42,33.03,70.58,5.23,2.3,High,Mid,Urea,107.49,Broadcast,Normal,Flood,24.7,29.29,27.25,14.64,8.79,5.86
Wheat,Loamy,7.24,1.34,215.26,14.11,210.33,1.32,59.3,19.87,60.79,2.71,4.92,Medium,Late,Urea,198.75,Foliar,Controlled_Release,Flood,67.9,58.8,29.58,29.4,17.64,11.76
Corn,Sandy,8.5,1.74,228.2,13.95,162.6,1.48,39.22,27.64,68.36,1.3,3.13,Low,Initial,PK,165.93,Broadcast,Normal,Flood,14.08,48.77,29.39,24.38,14.63,9.75
Rice,Sandy,7.86,1.54,243.26,12.2,310.51,1.24,43.89,33.65,41.57,4.61,3.3,Low,Mid,NK,73.03,Foliar,Biochar,Sprinkler,79.52,32.77,44.87,16.39,9.83,6.55
Wheat,Loamy,5.86,1.06,265.5,48.39,288.94,1.13,12.12,16.62,71.58,2.42,3.27,Medium,Mid,NK,171.19,Broadcast,Biochar,Flood,43.02,43.19,25.23,21.6,12.96,8.64
Vegetable,Sandy,7.54,1.19,191.55,69.26,283,1.31,47.05,21.07,70.74,3.49,4.08,High,Late,NPK,181.4,Foliar,Biochar,Sprinkler,61.5,54.93,30.28,27.46,16.48,10.99
Vegetable,Clay,7.74,1.55,201.1,34.22,318.07,1.59,88.02,29.29,60.56,1.67,7.82,Medium,Initial,Urea,163.64,Drip,Biochar,Drip,15.07,57.38,35.06,28.69,17.21,11.48
Rice,Sandy,7.04,1.89,227.78,34.41,254.04,1.42,82.07,21.45,84.23,1.31,5.62,High,Late,NK,99.52,Drip,Biochar,Sprinkler,28.87,46.94,47.17,23.47,14.08,9.39
Vegetable,Clay,5.74,1.2,87.22,17.28,84.04,1.49,110.25,35.39,73.69,0.65,3.8,Low,Mid,Urea,149.98,Broadcast,Controlled_Release,Flood,10.96,60.03,40.03,30.02,18.01,12.01
Vegetable,Loamy,5.6,1.9,100.01,10.08,197.98,1.15,7.12,31.78,65.63,2.44,3.75,Medium,Initial,NK,108.01,Broadcast,Controlled_Release,Drip,76.91,25.82,23.91,12.91,7.75,5.16
Citrus,Loamy,8.31,2.42,241.08,76.62,160.88,1.36,108.38,28.14,59.94,5.64,7.92,Medium,Late,Organic,62.49,Broadcast,Biochar,Drip,42.64,42.6,68.17,21.3,12.78,8.52
Corn,Loamy,6.27,0.55,83.74,42.04,169.85,1.54,54.16,18.63,55.32,3.94,5.31,High,Late,Organic,74.02,Drip,Controlled_Release,Drip,15.66,40.43,54.62,20.22,12.13,8.09
Vegetable,Loamy,6.64,0.83,222.12,61.62,118.6,1.54,50.46,31.9,84,3.3,5.79,Low,Mid,Urea,113.9,Broadcast,Controlled_Release,Flood,56.65,45.17,39.66,22.58,13.55,9.03
Citrus,Loamy,7.89,2.33,58.1,70.77,106.35,1.59,51.66,19.17,72.17,0.97,4.55,Medium,Mid,Organic,176.33,Broadcast,Controlled_Release,Drip,25.88,47.35,26.85,23.68,14.2,9.47
Wheat,Sandy,7.57,0.64,134.39,17.84,213.23,1.51,83.38,38.44,49.44,1.07,2,High,Late,PK,67.64,Foliar,Biochar,Flood,52.87,45.92,67.89,22.96,13.78,9.18
Vegetable,Sandy,8.41,2.03,215.56,28.38,389.94,1.54,53.75,16.85,51.45,3.89,3.91,Medium,Late,PK,164.66,Broadcast,Controlled_Release,Flood,16.97,48.52,29.47,24.26,14.56,9.7
Wheat,Loamy,5.78,1.75,226.68,45.14,57.8,1.2,117.33,25.08,73.78,4.05,6.78,Medium,Late,Organic,192.11,Drip,Biochar,Flood,24.42,69.54,36.2,34.77,20.86,13.91
Vegetable,Sandy,7.62,0.6,207.53,30.82,148.88,1.11,81.64,22.09,46.5,5.53,3.28,High,Mid,Organic,174.98,Foliar,Controlled_Release,Flood,54.07,67.31,38.47,33.66,20.19,13.46
Rice,Sandy,5.75,0.5,160.38,13.73,387.98,1.43,72.7,31.71,76.18,2.32,7.38,Low,Initial,Organic,105.02,Drip,Normal,Sprinkler,69.6,53.92,51.34,26.96,16.18,10.78
Citrus,Loamy,5.5,1.5,113.67,72.5,174.82,1.44,18.9,31.76,94.99,2.96,2.46,Low,Initial,NPK,94.15,Foliar,Controlled_Release,Drip,10.16,33.75,35.85,16.88,10.12,6.75
Citrus,Sandy,5.86,0.73,203.32,27.49,279.09,1.56,28.54,33.81,94.6,4.81,7.46,Low,Mid,NPK,133.22,Broadcast,Normal,Sprinkler,17.28,42.88,32.19,21.44,12.86,8.58
Rice,Loamy,7.35,2.24,96.24,15.09,143.66,1.38,81.67,34.5,92.41,4.26,2.89,Low,Late,Urea,193.07,Foliar,Controlled_Release,Drip,47.85,58.92,30.52,29.46,17.68,11.78
Corn,Loamy,7.53,1.46,65.07,39.56,239.72,1.31,45.4,20.7,49.57,1.58,6.17,High,Late,NK,62.52,Broadcast,Normal,Sprinkler,60.14,33.03,52.83,16.52,9.91,6.61
Citrus,Loamy,6.82,0.97,54.9,66.31,110.74,1.57,92.02,31,62.24,3.67,3.41,High,Late,Urea,98.52,Broadcast,Controlled_Release,Sprinkler,44.21,51.23,52,25.62,15.37,10.25
Wheat,Loamy,5.64,0.84,116.93,21.79,238.54,1.2,51.43,20.6,75.27,5.38,2.05,High,Mid,PK,75.57,Foliar,Normal,Drip,79.43,38.74,51.26,19.37,11.62,7.75
Citrus,Sandy,7.4,2.17,57.49,40.58,217.74,1.33,104.62,29.24,75.44,1.86,6.76,High,Initial,PK,171.98,Broadcast,Controlled_Release,Flood,42.9,66.38,38.6,33.19,19.91,13.28
Corn,Sandy,5.76,1.94,112.3,22.99,342.19,1.12,71.54,26.94,56.29,3.17,5.74,Medium,Late,Urea,196.86,Foliar,Biochar,Sprinkler,15.26,61.72,31.35,30.86,18.52,12.34
Wheat,Clay,5.93,1.94,122.35,67.27,331.41,1.5,101.32,34.75,40.23,4.28,5.49,Medium,Late,NK,77.9,Drip,Controlled_Release,Flood,41.74,45.06,57.84,22.53,13.52,9.01
Wheat,Clay,7.04,0.67,136.23,46.6,113.82,1.41,105.71,23.05,57.61,5.74,2.49,Medium,Mid,NK,160.63,Foliar,Controlled_Release,Flood,32.63,65.31,40.66,32.66,19.59,13.06
Rice,Loamy,6.52,1.75,228.37,50.49,379.1,1.25,39.5,15.91,80.14,2.13,4.41,High,Mid,NK,179.95,Broadcast,Normal,Flood,57.73,49.79,27.67,24.9,14.94,9.96
Vegetable,Clay,6.89,2.24,160.33,62.33,186.3,1.37,47.17,24.24,63.45,4.8,3.22,Low,Initial,NK,152.26,Foliar,Normal,Flood,66.62,41.92,27.53,20.96,12.58,8.38
Rice,Sandy,7.41,2.03,296.33,75.78,67.71,1.44,86.88,36.07,83.31,5.86,3.26,High,Mid,Urea,196.13,Foliar,Biochar,Sprinkler,42.69,67.73,34.53,33.86,20.32,13.55
Vegetable,Sandy,5.98,0.74,286.84,17.41,76.79,1.5,14.72,26.2,94.77,1.85,3.38,Medium,Late,NPK,126.29,Foliar,Biochar,Flood,14.07,41.39,32.77,20.7,12.42,8.28
Rice,Clay,8.18,2.4,295.38,69.19,196.53,1.15,17.3,35.46,68.28,3.96,5.67,Low,Mid,NK,175.72,Foliar,Controlled_Release,Flood,13.42,42.39,24.12,21.2,12.72,8.48
Vegetable,Clay,7.18,0.64,153.06,43.2,360.6,1.2,98.6,21.29,70.15,4.35,7.54,High,Late,Urea,78.11,Broadcast,Normal,Sprinkler,32.55,53.98,69.11,26.99,16.19,10.8
Citrus,Sandy,5.57,1.61,61.05,54.84,104.71,1.36,1.54,21.13,90.88,5.22,2.14,High,Late,Organic,78.78,Foliar,Biochar,Flood,18.27,23.23,29.49,11.62,6.97,4.65
Wheat,Clay,7.39,2.39,265.07,69.69,218.23,1.46,4.51,21.63,88.08,5.03,6.57,Medium,Late,Organic,111.96,Foliar,Normal,Flood,43.61,27.87,24.89,13.94,8.36,5.57
Vegetable,Sandy,6.89,2.14,158.72,32.87,238.59,1.54,69.07,33.47,45.29,3.59,4.48,High,Mid,Organic,121.61,Broadcast,Normal,Drip,68.09,49.2,40.46,24.6,14.76,9.84
Citrus,Sandy,7.6,1.86,210.29,70.87,361.93,1.37,115.55,28.64,51.66,2.65,3.79,High,Late,PK,85.61,Broadcast,Controlled_Release,Drip,18.14,53.9,62.96,26.95,16.17,10.78
Corn,Clay,7.85,2.21,260.86,54.2,54.34,1.25,111.93,32.74,44.82,1.7,4.22,Low,Mid,PK,87.26,Drip,Controlled_Release,Drip,37.37,43.67,50.05,21.84,13.1,8.73
Rice,Clay,8.32,1.85,201.83,29.53,361.58,1.53,52.92,24.44,43.94,5.27,5.1,High,Late,Urea,186.89,Broadcast,Normal,Flood,30.96,54.32,29.07,27.16,16.3,10.86
Corn,Loamy,8.5,0.61,234.23,74.39,144.53,1.58,95.9,26.19,73.61,5.61,5.99,High,Late,NPK,122.44,Foliar,Controlled_Release,Sprinkler,46.97,59.32,48.45,29.66,17.8,11.86
Citrus,Loamy,7.15,1.2,112.19,14.05,355.02,1.22,83.58,26.87,43.28,0.95,7.78,Medium,Initial,Organic,167.77,Drip,Biochar,Drip,73.86,56.98,33.96,28.49,17.09,11.4
Corn,Loamy,7.18,1.35,98.76,51.34,198.41,1.4,96.43,27.4,69.47,5.09,3.19,Medium,Initial,Organic,198.28,Foliar,Controlled_Release,Flood,19.09,67.96,34.27,33.98,20.39,13.59
Corn,Loamy,5.57,1.59,188.82,11.18,164.58,1.26,29.13,22.27,80.96,2.03,5.37,Medium,Late,NK,62.75,Foliar,Normal,Sprinkler,27.76,26.14,41.66,13.07,7.84,5.23
Citrus,Loamy,8.1,0.96,209.49,15.72,396.48,1.53,39.19,32.04,65.34,5.11,2.16,Low,Initial,Organic,92.12,Drip,Controlled_Release,Sprinkler,11.34,37.33,40.52,18.66,11.2,7.47
Wheat,Sandy,5.59,2.26,267.95,17.01,323.87,1.3,93.23,28.49,85.35,0.67,7.8,High,Late,NPK,185.34,Drip,Normal,Drip,39.8,65.34,35.25,32.67,19.6,13.07
Vegetable,Clay,7.4,0.96,255.35,72.6,219.82,1.56,32.81,30.75,88.56,5.26,6.28,Low,Mid,PK,124.94,Drip,Controlled_Release,Sprinkler,71.48,40.13,32.12,20.07,12.04,8.03
Rice,Sandy,5.8,1.82,297.26,49.11,180.76,1.34,90.95,17.53,41.43,1.37,7.04,Medium,Late,Urea,196.04,Foliar,Biochar,Drip,43.51,66.03,33.68,33.02,19.81,13.21
Vegetable,Loamy,6.36,2.25,291.59,28.2,161.81,1.47,90.33,18.1,46.24,5.36,3.64,Low,Late,Urea,117.92,Drip,Biochar,Drip,30.72,43.45,36.85,21.72,13.04,8.69
Rice,Loamy,5.92,1.97,205.88,37.34,292.08,1.27,91.74,24.96,90.11,3.19,5.91,High,Late,PK,71.33,Drip,Biochar,Drip,67.88,45.06,63.17,22.53,13.52,9.01
Vegetable,Clay,5.91,0.77,175.87,68.66,195.84,1.36,52.38,30.41,76.07,4.81,4.57,Low,Late,NPK,166.39,Drip,Controlled_Release,Flood,50.43,55.66,33.45,27.83,16.7,11.13
Corn,Sandy,5.72,2.4,240.16,49.91,277.45,1.45,23.12,22.2,81.82,5.08,4.87,Medium,Initial,PK,102.88,Foliar,Biochar,Drip,70.33,29.17,28.35,14.58,8.75,5.83
Wheat,Loamy,6.45,0.68,115.34,12.21,195.43,1.2,11.47,17.95,69.64,2.73,2.58,Low,Mid,NPK,99.24,Drip,Normal,Flood,77.16,33.7,33.96,16.85,10.11,6.74
Corn,Loamy,6.77,0.9,138.09,70.99,180.02,1.19,23.28,33.18,67.86,5.02,3.11,Medium,Initial,Urea,60.5,Drip,Biochar,Sprinkler,14.01,33.16,54.81,16.58,9.95,6.63
Wheat,Loamy,6.89,0.78,241.78,47.69,166.11,1.14,58.89,34.77,59.75,4.55,5.22,High,Initial,NPK,164,Foliar,Controlled_Release,Drip,23.99,57.65,35.15,28.82,17.29,11.53
Citrus,Loamy,6.82,1.83,287.49,23.73,371.63,1.28,31.33,31.13,87.31,1.38,2.83,Low,Initial,Organic,87.79,Foliar,Normal,Drip,76.23,31.3,35.65,15.65,9.39,6.26
Rice,Sandy,7.07,2.11,273.84,60.06,318.23,1.39,103.04,23.34,82.97,0.74,3.09,Low,Mid,Organic,121.21,Broadcast,Biochar,Sprinkler,20.98,53.64,44.25,26.82,16.09,10.73
Rice,Sandy,8.08,0.98,68.21,47.37,279.29,1.15,88,29.68,49.47,5.19,6.11,High,Mid,NK,114.73,Foliar,Controlled_Release,Flood,44.04,54.13,47.18,27.06,16.24,10.83
Citrus,Loamy,7.4,2.46,107.98,23.25,282.89,1.17,88.88,22.77,50.17,5.11,5.03,Medium,Initial,Urea,187.92,Drip,Controlled_Release,Flood,54,55.69,29.63,27.84,16.71,11.14
Vegetable,Sandy,5.55,0.78,118.32,55.51,113.77,1.49,35.53,35.29,53.01,4.45,6.95,Medium,Initial,Organic,71.31,Broadcast,Biochar,Flood,20.9,34.96,49.03,17.48,10.49,6.99
Citrus,Loamy,6.02,1.13,145.8,54.9,377.45,1.32,56.41,39.22,94.93,5.28,4.75,Medium,Initial,Urea,90.14,Broadcast,Normal,Flood,15.58,42.67,47.34,21.34,12.8,8.53
Citrus,Clay,6.55,1.48,67.68,76.83,86.96,1.14,76.1,18.42,69.99,4.48,2.48,High,Mid,Organic,189.16,Foliar,Controlled_Release,Drip,24.04,57.87,30.59,28.94,17.36,11.57
Wheat,Clay,8.35,2.12,107.72,28.5,128.42,1.26,53.32,33.98,68.04,4.13,2.48,Low,Mid,Urea,190.15,Foliar,Normal,Flood,50.88,58.4,30.71,29.2,17.52,11.68
Citrus,Clay,5.73,1.25,229.04,48.39,58.46,1.33,95.34,15.06,84.39,2.66,6,Medium,Mid,Organic,84.01,Broadcast,Controlled_Release,Drip,49.45,42.82,50.97,21.41,12.85,8.56
Rice,Sandy,7.63,0.86,111.11,32.47,179.16,1.22,70.91,25.91,59.79,2.44,4,Low,Late,Urea,125.3,Broadcast,Biochar,Sprinkler,11.97,49.06,39.15,24.53,14.72,9.81
Corn,Loamy,5.6,1.43,285.64,30.87,157.61,1.44,71.7,33.7,64.12,1.63,5.24,Medium,Mid,NPK,79.89,Foliar,Controlled_Release,Flood,55.95,40.14,50.24,20.07,12.04,8.03
Wheat,Clay,6.59,1.45,155.76,45.39,344.75,1.5,6.91,33,66.12,4.67,5.57,High,Initial,NPK,163.86,Foliar,Biochar,Drip,72.14,42.25,25.78,21.12,12.68,8.45
Wheat,Clay,7.81,0.53,74.92,60.04,283.4,1.49,95.32,38.36,74.41,1.49,4.26,Low,Late,NK,109.66,Broadcast,Biochar,Sprinkler,50.75,57.35,52.3,28.68,17.2,11.47
Vegetable,Sandy,6.53,0.54,260.67,52.34,327.55,1.38,14.83,37.62,46.64,3.39,3.93,High,Late,NK,71.26,Foliar,Controlled_Release,Sprinkler,56.16,36.82,51.67,18.41,11.05,7.36
Corn,Sandy,6.79,1.06,278.88,18.21,102.05,1.33,24.06,27.34,52.37,2.73,7.2,Medium,Initial,Organic,112.81,Broadcast,Normal,Drip,19.18,39.91,35.38,19.95,11.97,7.98
Wheat,Clay,8.22,1.98,282.03,74.57,249.83,1.56,14.17,35.68,78.12,3.43,3.43,Medium,Initial,NPK,176.26,Foliar,Biochar,Flood,13.88,43.23,24.53,21.62,12.97,8.65
Citrus,Loamy,5.7,1.23,173.48,59.61,221.43,1.16,100.25,39.88,43.11,4.58,2.31,High,Late,Urea,131.23,Broadcast,Biochar,Sprinkler,29.93,56.39,42.97,28.2,16.92,11.28
Wheat,Loamy,7.08,0.92,280.13,50.55,199.25,1.36,106.12,29.54,68.47,5.18,6.19,High,Initial,NPK,145.96,Foliar,Controlled_Release,Drip,28.34,60.86,41.7,30.43,18.26,12.17
Wheat,Loamy,6.6,0.73,227.3,20.1,397.65,1.26,117.29,31.41,82.99,2.03,6.36,Low,Mid,NPK,104.68,Broadcast,Biochar,Sprinkler,51.42,54.4,51.97,27.2,16.32,10.88
Wheat,Clay,8.39,1.06,98.9,19.44,206.29,1.32,19.87,17.02,44.27,1.09,2.38,Medium,Initial,NK,129.67,Drip,Biochar,Drip,32.37,36.87,28.43,18.43,11.06,7.37
Vegetable,Sandy,7.88,1.46,183.3,30.54,87.41,1.42,102.01,39.61,91.94,4.67,3.4,Low,Mid,NPK,163.32,Foliar,Biochar,Sprinkler,55.61,63.51,38.89,31.76,19.05,12.7
Wheat,Loamy,5.87,0.69,158.21,74.62,61.6,1.39,69.81,37.89,54.26,3.71,2.7,Medium,Initial,Urea,87.86,Broadcast,Controlled_Release,Flood,45.29,47.17,53.69,23.58,14.15,9.43
Wheat,Clay,8.28,0.53,162.76,20.29,329.31,1.46,108.28,26.75,59.38,4.82,6.28,High,Mid,NPK,84.2,Drip,Normal,Flood,37.32,55.71,66.16,27.86,16.71,11.14
Vegetable,Clay,6.13,0.75,153.33,55.83,53.38,1.11,35.08,26.8,59.65,4.54,4.15,High,Late,NPK,151.79,Foliar,Biochar,Flood,67.92,48.69,32.08,24.34,14.61,9.74
Corn,Sandy,5.75,1.98,93.82,55.14,371.28,1.34,33.27,29.51,55.39,4.85,5.69,Medium,Initial,Organic,145.89,Broadcast,Biochar,Flood,27.42,44.23,30.32,22.12,13.27,8.85
Rice,Loamy,7.12,1.43,147.51,16.44,122.98,1.45,96.65,33.2,73.92,4.49,2.83,Low,Initial,NPK,150.06,Drip,Normal,Sprinkler,10.95,59.95,39.95,29.98,17.98,11.99
Vegetable,Clay,7.71,1.39,178,59.51,358.54,1.5,29.73,33.09,80.14,2.07,3.85,Medium,Late,PK,179.6,Broadcast,Controlled_Release,Sprinkler,27.93,53.68,29.89,26.84,16.1,10.74
Vegetable,Loamy,7.65,0.54,121.42,43.34,327.97,1.16,8.69,31.15,76.32,1.88,4.84,High,Initial,PK,191.43,Foliar,Normal,Flood,36.13,54.78,28.62,27.39,16.43,10.96
Wheat,Loamy,7.1,1.92,94.21,45.05,123.59,1.26,52.87,22.19,72.15,4.21,6.08,High,Mid,PK,184.9,Broadcast,Normal,Flood,24.52,52.37,28.32,26.18,15.71,10.47
Wheat,Loamy,6.98,0.9,99.56,10.38,342.71,1.39,72.57,28.59,58.3,2.65,3.08,High,Initial,Organic,101.43,Foliar,Normal,Drip,41.1,49.74,49.04,24.87,14.92,9.95
Rice,Clay,8.41,0.68,98.24,72.78,162.41,1.29,84.79,28.84,48.81,4.29,4.72,Medium,Initial,Organic,110.76,Drip,Biochar,Sprinkler,33.91,52.67,47.55,26.34,15.8,10.53
Wheat,Loamy,7.96,2.18,161.69,52.73,122.98,1.3,16.96,27.14,53.66,2.44,4.08,Low,Initial,PK,113.76,Broadcast,Biochar,Drip,37.94,29.89,26.27,14.94,8.97,5.98
Citrus,Sandy,7.6,1.47,102.27,52.32,125.05,1.18,61.74,16.72,48.72,5.22,3.49,Low,Mid,PK,62.15,Foliar,Controlled_Release,Sprinkler,35.01,35.08,56.44,17.54,10.52,7.02
